label,Anatomy,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
4315,-17.32650174881386,-12.69718256938035,-0.22595917904658666,3,2,1,1,5
1064,-13.542403106717135,-5.4576453221488945,-33.70517643593195,3,2,2,1,6
4256,-4.742173455141856,-2.3490458592026235,-10.872385919219424,3,2,1,2,3
3248,-15.02262821169925,-5.306668730749828,-40.45466891221723,3,2,2,1,5
2546,32.91470025355977,80.12186227521859,-121.36309631108192,2,2,2,2,3
309,-54.850383420287265,-219.8712960814345,1257.755011644182,3,2,2,1,2
5078,-22.87100817130956,-9.256854667303339,-62.51220293717061,1,2,2,1,3
1874,-10.935440577034758,-4.509186460214288,-26.722695497285358,3,2,1,1,3
436,-22.605766200515856,-10.24857168965386,-51.33553448714255,3,2,2,1,4
1076,-19.841411080644278,-11.038008909194554,-31.34400899683723,3,2,2,1,2
6495,-3.4477700086844454,-1.911409667084289,-7.664000468279142,3,2,2,2,6
211,-10.645104130159421,-4.405128239088666,-25.95779579829343,3,2,1,1,6
2569,-21.09661494887429,-8.370322743801356,-55.31756608517293,3,2,2,1,4
5373,-29.897842728065466,-28.05580034876271,10.191622738088183,3,2,2,2,2
2477,-12.879737288226773,-5.214072855862138,-31.91000836368364,2,2,2,2,2
3485,-20.10705786512586,-7.973336097718261,-52.35352242674342,3,2,2,2,3
1258,-19.410249480592057,-7.829860376102312,-51.355547976879095,2,2,2,2,4
820,-11.417124335499297,-4.682498243979124,-27.99712206236269,3,2,1,1,6
2015,-21.211382282655855,-8.319541240769885,-56.73487615947049,1,2,2,1,3
297,-26.857553609307033,-10.787322200071692,-73.51536411847522,2,2,2,2,2
2975,-6.033201383933848,-2.7898409363821886,-14.103815349780145,3,2,2,1,3
6585,-6.978546811347403,-3.1155483731457756,-16.491976510004484,3,2,2,2,6
1891,-24.12782691973364,48.594812975548834,-26.178465620557798,3,2,2,1,5
1510,-8.035577405748432,-3.48287529416171,-19.186204617005306,2,2,2,2,6
701,-23.450958696162928,-9.374290849609814,-62.48894484449378,3,2,2,1,3
3823,-13.730538661568778,-5.989287254327965,-39.94467048323209,1,2,2,1,3
714,-36.37658232685398,42.90394816790419,-77.20554677921055,2,2,2,2,4
1393,-15.177018672657873,-6.1255877943581805,-38.52685757184703,2,2,2,2,5
1086,-41.325371783397436,-18.842881188152028,-120.44926382678558,2,2,2,2,3
827,-30.015623245165802,69.78778583698633,-65.84540462392766,3,2,2,1,5
3968,-2.7697851895327106,-1.6837792891376473,-5.994871157575748,3,2,1,1,3
912,-6.694759813244328,-2.0173835935761044,-16.30369732452505,3,2,1,2,3
518,-4.574219864618189,-2.292025235048196,-10.454382784019714,3,2,1,1,3
4037,-16.80792408177335,9.28874902933683,-41.784503926848714,3,2,1,1,3
2581,-14.410666750161328,-10.151163667225159,-13.400799302411007,1,2,1,2,4
4145,-19.53565405826582,-7.734039153331393,-51.36097758503008,3,2,1,1,3
3902,-10.167254335583811,-4.216811426546937,-25.16783003192128,3,2,1,1,4
201,-11.713200933698305,-4.789451510845192,-28.78389486731757,1,2,2,1,6
5696,-11.752420244802542,-4.803643385319137,-28.88831172190879,2,2,2,2,6
3346,-6.409979550573668,-2.9193473855122782,-15.053318774665685,3,2,2,1,5
4572,-10.178493832463477,-4.333620400634656,-24.72146762875259,3,2,1,1,3
4410,-7.170835907932068,-3.182118451597685,-16.98016375202947,3,2,2,2,6
6423,-6.510525424515777,-2.6318216972882236,-15.998197132578557,3,2,2,1,5
6433,0.6717244002238387,-0.5429410232589122,2.3788688476502564,3,2,1,1,5
3484,-19.657166863477723,-7.794491815712253,-51.02029967034392,3,2,2,1,3
5923,-4.979303187998329,-2.4296759063781117,-11.463460671077447,3,2,2,1,6
2280,0.4058495265817322,-0.6303032497637692,1.7369263373261836,3,2,1,1,3
6870,0.6743513433622883,-0.542078424372735,2.3852080097744914,3,2,2,1,4
1761,-14.383546118829607,-5.769371929436692,-36.00493338419914,1,2,2,1,6
3232,-11.746557956183855,-4.801521695593997,-28.872701094627235,3,2,1,1,2
6344,-0.45171067260490627,-0.8186668820854713,-1.2381965456178625,3,2,1,1,3
4433,-7.331674766308724,-3.237885473727392,-17.389153330239314,3,2,2,5,6
6754,1.156032306720485,-0.38409478954312176,3.5464697175533555,3,2,2,1,6
276,-36.800132005211246,-16.907980527267682,-105.0470290633319,3,2,1,1,4
6617,-9.362986951484846,-3.9318754922063706,-23.084760765826307,3,2,2,1,5
6843,-26.367696504865823,-14.29341861675074,-52.781129969752236,1,2,2,2,2
70,-10.455350841819959,37.765589699957026,58.156636358087205,3,2,2,1,2
4589,-15.417684572330739,-7.133834033237767,-33.7258433014744,3,2,2,1,2
1304,-33.440278310358266,-13.799580198045406,-96.6095265350109,3,2,2,1,2
4439,-50.34180808801334,-26.05838114075555,-197.07162125810117,3,2,1,1,4
4636,-1.678524150013023,-1.3195219800903135,-3.3230452196472533,3,2,2,2,2
425,-7.651739340863903,-3.349093321680143,-18.204817302142597,1,2,2,1,4
6582,-19.662983158356333,33.19735584515277,-29.088501078805677,3,2,2,1,3
2786,2.672210521209632,0.11098306089858466,7.189193388947635,3,2,2,2,6
8036,-8.295559010102966,-3.5737506914160293,-19.85294606607116,3,2,1,1,2
3211,-14.418292376242217,-5.796767287057478,-36.06371311772091,3,2,2,1,6
2979,-5.875293713400996,-2.735683528939808,-13.706769317039516,3,2,1,1,3
2037,-9.496143368369207,-3.9962442949843737,-22.954053195787207,3,2,2,1,3
7903,-6.968585755585131,-3.1121028693767627,-16.466710002818242,1,2,2,1,2
3421,-3.588216204711448,-1.95869709149784,-8.01070430315183,3,2,2,1,6
