label;uniprotAccs;region_name;Score_Max;hemisphere
277;O14818;PSMA1_F;24;right
278;P28072;PSMB6_G;24;right
279;Q99436;PSMB7_H;24;right
280;P25789;PSMA4_I;24;right
281;P25788;PSMA3_J;24;right
282;P60900;PSMA6_K;24;right
283;P28066;PSMA5_L;24;right
284;P25787;PSMA2_M;24;right
285;Q8TAA3;PSMA8_A;25;right
286;P28070;PSMB4_B;25;right
287;P28074;PSMB5_C;25;right
288;P49721;PSMB2_D;25;right
289;P20618;PSMB1_E;25;right
290;O14818;PSMA1_F;25;right
291;P28072;PSMB6_G;25;right
292;Q99436;PSMB7_H;25;right
293;P25789;PSMA4_I;25;right
294;P25788;PSMA3_J;25;right
295;P60900;PSMA6_K;25;right
296;P28066;PSMA5_L;25;right
297;P25787;PSMA2_M;25;right
298;Q8TAA3;PSMA8_A;26;right
299;P28070;PSMB4_B;26;right
300;P28074;PSMB5_C;26;right
301;P49721;PSMB2_D;26;right
302;P20618;PSMB1_E;26;right
303;O14818;PSMA1_F;26;right
304;P28072;PSMB6_G;26;right
305;Q99436;PSMB7_H;26;right
306;P25789;PSMA4_I;26;right
307;P25788;PSMA3_J;26;right
308;P60900;PSMA6_K;26;right
309;P28066;PSMA5_L;26;right
310;P25787;PSMA2_M;26;right
311;Q8TAA3;PSMA8_A;27;right
312;P28070;PSMB4_B;27;right
313;P28074;PSMB5_C;27;right
314;P49721;PSMB2_D;27;right
315;P20618;PSMB1_E;27;right
316;O14818;PSMA1_F;27;right
317;P28072;PSMB6_G;27;right
318;Q99436;PSMB7_H;27;right
319;P25789;PSMA4_I;27;right
320;P25788;PSMA3_J;27;right
321;P60900;PSMA6_K;27;right
322;P28066;PSMA5_L;27;right
323;P25787;PSMA2_M;27;right
324;Q8TAA3;PSMA8_A;28;right
325;P28070;PSMB4_B;28;right
326;P28074;PSMB5_C;28;right
327;P49721;PSMB2_D;28;right
328;P20618;PSMB1_E;28;right
329;O14818;PSMA1_F;28;right
330;P28072;PSMB6_G;28;right
331;Q99436;PSMB7_H;28;right
332;P25789;PSMA4_I;28;right
333;P25788;PSMA3_J;28;right
334;P60900;PSMA6_K;28;right
335;P28066;PSMA5_L;28;right
336;P25787;PSMA2_M;28;right
337;Q8TAA3;PSMA8_A;29;right
338;P28070;PSMB4_B;29;right
339;P28074;PSMB5_C;29;right
340;P49721;PSMB2_D;29;right
341;P20618;PSMB1_E;29;right
342;O14818;PSMA1_F;29;right
343;P28072;PSMB6_G;29;right
344;Q99436;PSMB7_H;29;right
345;P25789;PSMA4_I;29;right
346;P25788;PSMA3_J;29;right
347;P60900;PSMA6_K;29;right
348;P28066;PSMA5_L;29;right
349;P25787;PSMA2_M;29;right
350;Q8TAA3;PSMA8_A;30;right
351;P28070;PSMB4_B;30;right
352;P28074;PSMB5_C;30;right
353;P49721;PSMB2_D;30;right
354;P20618;PSMB1_E;30;right
355;O14818;PSMA1_F;30;right
356;P28072;PSMB6_G;30;right
357;Q99436;PSMB7_H;30;right
358;P25789;PSMA4_I;30;right
359;P25788;PSMA3_J;30;right
360;P60900;PSMA6_K;30;right
361;P28066;PSMA5_L;30;right
362;P25787;PSMA2_M;30;right
363;Q8TAA3;PSMA8_A;31;right
364;P28070;PSMB4_B;31;right
365;P28074;PSMB5_C;31;right
366;P49721;PSMB2_D;31;right
367;P20618;PSMB1_E;31;right
368;O14818;PSMA1_F;31;right
369;P28072;PSMB6_G;31;right
370;Q99436;PSMB7_H;31;right
371;P25789;PSMA4_I;31;right
372;P25788;PSMA3_J;31;right
373;P60900;PSMA6_K;31;right
