Label;NodeStrength;DegreeCentrality;BetweennessCentrality;EigenvectorCentrality;ClusteringCoefficient;AvgPathLength;region_name;hemisphere
52;0.0323;0.98225;7.7702;5.3861;0.97035;1.0059;52_156_64_46;left
53;0.048054;0.94083;1.5074;5.213;0.99164;1.0473;53_154_65_46;left
54;0.041969;0.95266;1.9896;5.2731;0.98929;1.0355;54_155_65_46;left
55;0.032697;0.98225;7.7702;5.3861;0.97035;1.0059;55_156_65_46;left
56;0.049114;0.94083;1.5074;5.213;0.99164;1.0473;56_154_66_46;left
57;0.033909;0.9645;2.7872;5.3294;0.98561;1.0237;57_155_66_46;left
58;0.048733;0.99408;23.4535;5.4033;0.95352;0.99408;58_156_66_46;left
59;0.031965;0.97633;5.5032;5.3701;0.97635;1.0118;59_155_64_47;left
60;0.043601;0.98817;12.0642;5.3971;0.9627;1;60_156_64_47;left
61;0.03352;0.9645;2.7872;5.3294;0.98561;1.0237;61_155_65_47;left
62;0.040299;0.98817;12.0642;5.3971;0.9627;1;62_156_65_47;left
63;0.040154;0.95858;2.3707;5.3014;0.9875;1.0296;63_122_143_50;left
64;0.047192;0.98817;12.0642;5.3971;0.9627;1;64_123_143_50;left
65;0.039277;0.9645;2.7872;5.3294;0.98561;1.0237;65_122_144_50;left
66;0.054566;0.98817;20.8422;5.3761;0.95534;1;66_123_144_50;left
67;0.074414;0.88166;0.20741;4.8983;0.99873;1.1065;67_91_112_51;left
68;0.053476;0.92899;1.1325;5.1516;0.99355;1.0592;68_92_112_51;left
69;0.035472;0.9645;2.7872;5.3294;0.98561;1.0237;69_91_113_51;left
70;0.033208;0.97041;4.111;5.3499;0.981;1.0178;70_92_113_51;left
71;0.044935;0.95266;1.9896;5.2731;0.98929;1.0355;71_91_112_52;left
72;0.032087;0.98225;7.7702;5.3861;0.97035;1.0059;72_92_112_52;left
73;0.036403;0.98817;12.0642;5.3971;0.9627;1;73_91_113_52;left
74;0.036883;0.98817;12.0642;5.3971;0.9627;1;74_92_113_52;left
75;0.046438;0.98817;12.0642;5.3971;0.9627;1;75_101_178_52;left
76;0.10848;0.60355;6.4275;3.2801;0.97399;1.3846;76_102_178_52;left
77;0.13229;0.33728;1.4545;1.7948;0.98496;1.6509;77_101_179_52;left
78;0.16158;0.19527;0;1;1;1.7929;78_102_179_52;left
79;0.041969;0.95266;1.9896;5.2731;0.98929;1.0355;79_173_99_54;left
80;0.036875;0.9645;2.7872;5.3294;0.98561;1.0237;80_174_99_54;left
81;0.045965;0.94675;1.7407;5.2431;0.99049;1.0414;81_173_100_54;left
82;0.040154;0.95858;2.3707;5.3014;0.9875;1.0296;82_174_100_54;left
83;0.0323;0.98225;7.7702;5.3861;0.97035;1.0059;83_117_184_56;left
84;0.0323;0.98225;7.7702;5.3861;0.97035;1.0059;84_118_184_56;left
85;0.062466;0.95858;18.5833;5.2252;0.95959;1.0296;85_117_185_56;left
86;0.054566;0.98817;20.8422;5.3761;0.95534;1;86_118_185_56;left
87;0.032171;0.97633;5.5032;5.3701;0.97635;1.0118;87_114_180_59;left
88;0.036151;0.9645;2.7872;5.3294;0.98561;1.0237;88_115_180_59;left
89;0.031965;0.97633;5.5032;5.3701;0.97635;1.0118;89_114_181_59;left
