label;Sample;superclass;region_name;hemisphere
272;3;Uncalled;CA1;left
273;3;PC CA1;CA1;left
274;3;PC CA1;CA1;left
275;3;Non neuron;CA1;left
276;3;Uncalled;CA1;left
277;3;Uncalled;CA1;left
278;3;Uncalled;CA1;left
279;3;PC CA1;CA1;left
280;3;Non neuron;CA1;left
281;3;Non neuron;CA1;left
282;3;PC CA1;CA1;left
283;3;PC CA1;CA1;left
284;3;Uncalled;CA1;left
285;3;Uncalled;CA1;left
286;3;PC CA1;CA1;left
287;3;PC CA1;CA1;left
288;3;Uncalled;CA1;left
289;3;PC CA1;CA1;left
290;3;PC CA1;CA1;left
291;3;PC CA1;CA1;left
292;3;PC CA1;CA1;left
293;3;PC CA1;CA1;left
294;3;Non neuron;CA1;left
295;3;Non neuron;CA1;left
296;3;Uncalled;CA1;left
297;3;PC CA1;CA1;left
298;3;Uncalled;CA1;left
299;3;Uncalled;CA1;left
300;3;PC CA1;CA1;left
301;3;PC CA1;CA1;left
302;3;PC CA1;CA1;left
303;3;Uncalled;CA1;left
304;3;Non neuron;CA1;left
305;3;Uncalled;CA1;left
306;3;Uncalled;CA1;left
307;3;PC CA1;CA1;left
308;3;PC CA1;CA1;left
309;3;PC CA1;CA1;left
310;3;Uncalled;CA1;left
311;3;PC CA1;CA1;left
312;3;PC CA1;CA1;left
313;3;PC CA1;CA1;left
314;3;PC CA1;CA1;left
315;3;PC CA1;CA1;left
316;3;PC CA1;CA1;left
317;3;PC CA1;CA1;left
318;3;O/LM;CA1;left
319;3;Uncalled;CA1;left
320;3;PC CA1;CA1;left
321;3;Non neuron;CA1;left
322;3;Basket;CA1;left
323;3;PC CA1;CA1;left
324;3;Non neuron;CA1;left
325;3;PC CA1;CA1;left
326;3;PC CA1;CA1;left
327;3;Non neuron;CA1;left
328;3;Basket;CA1;left
329;3;Non neuron;CA1;left
330;3;Uncalled;CA1;left
331;3;PC CA1;CA1;left
332;3;Uncalled;CA1;left
333;3;PC CA1;CA1;left
334;3;PC CA1;CA1;left
335;3;PC CA1;CA1;left
336;3;PC CA1;CA1;left
337;3;Uncalled;CA1;left
338;3;PC CA1;CA1;left
339;3;Non neuron;CA1;left
340;3;Uncalled;CA1;left
341;3;PC CA1;CA1;left
342;3;Non neuron;CA1;left
343;3;Non neuron;CA1;left
344;3;Uncalled;CA1;left
345;3;Non neuron;CA1;left
346;3;Uncalled;CA1;left
347;3;Non neuron;CA1;left
348;3;PC CA1;CA1;left
349;3;PC CA1;CA1;left
350;3;PC CA1;CA1;left
351;3;PC CA1;CA1;left
352;3;Non neuron;CA1;left
353;3;PC CA1;CA1;left
354;3;Uncalled;CA1;left
355;3;Uncalled;CA1;left
356;3;Hippocamposeptal;CA1;left
357;3;Non neuron;CA1;left
358;3;PC CA1;CA1;left
359;3;Bistratified;CA1;left
360;3;Non neuron;CA1;left
361;3;Non neuron;CA1;left
362;3;Uncalled;CA1;left
363;3;PC CA1;CA1;left
364;3;Non neuron;CA1;left
365;3;Non neuron;CA1;left
366;3;Uncalled;CA1;left
367;3;PC CA1;CA1;left
368;3;PC CA1;CA1;left
369;3;Non neuron;CA1;left
370;3;PC CA1;CA1;left
371;3;PC CA1;CA1;left
372;3;PC CA1;CA1;left
373;3;PC other;CA1;left
374;3;PC CA1;CA1;left
375;3;Non neuron;CA1;left
376;3;PC CA1;CA1;left
377;3;Uncalled;CA1;left
378;3;PC CA1;CA1;left
379;3;PC CA1;CA1;left
380;3;Non neuron;CA1;left
381;3;Non neuron;CA1;left
382;3;Uncalled;CA1;left
383;3;O/LM;CA1;left
384;3;PC CA1;CA1;left
385;3;MGE NGF/IVY;CA1;left
386;3;Hippocamposeptal;CA1;left
387;3;Uncalled;CA1;left
388;3;PC CA1;CA1;left
389;3;Non neuron;CA1;left
390;3;Uncalled;CA1;left
391;3;PC CA1;CA1;left
392;3;PC CA1;CA1;left
393;3;PC CA1;CA1;left
394;3;Uncalled;CA1;left
395;3;PC CA1;CA1;left
396;3;PC CA1;CA1;left
397;3;PC CA1;CA1;left
398;3;Uncalled;CA1;left
399;3;Non neuron;CA1;left
400;3;Uncalled;CA1;left
401;3;PC CA1;CA1;left
402;3;Uncalled;CA1;left
403;3;Uncalled;CA1;left
404;3;Uncalled;CA1;left
405;3;PC CA1;CA1;left
406;3;PC CA1;CA1;left
407;3;Uncalled;CA1;left
408;3;PC CA1;CA1;left
409;3;Non neuron;CA1;left
410;3;PC other;CA1;left
411;3;Uncalled;CA1;left
412;3;PC CA1;CA1;left
413;3;PC CA1;CA1;left
414;3;PC CA1;CA1;left
415;3;Non neuron;CA1;left
416;3;Uncalled;CA1;left
417;3;PC CA1;CA1;left
418;3;PC CA1;CA1;left
419;3;Uncalled;CA1;left
420;3;PC CA1;CA1;left
421;3;PC CA1;CA1;left
422;3;Uncalled;CA1;left
423;3;Uncalled;CA1;left
424;3;PC CA1;CA1;left
425;3;PC CA1;CA1;left
426;3;Non neuron;CA1;left
427;3;PC CA1;CA1;left
428;3;Uncalled;CA1;left
429;3;PC CA1;CA1;left
430;3;PC CA1;CA1;left
431;3;Uncalled;CA1;left
432;3;PC CA1;CA1;left
433;3;PC CA1;CA1;left
434;3;PC CA1;CA1;left
435;3;PC CA1;CA1;left
436;3;Non neuron;CA1;left
437;3;Uncalled;CA1;left
438;3;Uncalled;CA1;left
439;3;Uncalled;CA1;left
440;3;PC CA1;CA1;left
441;3;Axo-axonic;CA1;left
442;3;Non neuron;CA1;left
443;3;Non neuron;CA1;left
444;3;PC CA1;CA1;left
445;3;Uncalled;CA1;left
446;3;PC CA1;CA1;left
447;3;Non neuron;CA1;left
448;3;Non neuron;CA1;left
449;3;PC CA1;CA1;left
450;3;PC CA1;CA1;left
451;3;PC CA1;CA1;left
452;3;Non neuron;CA1;left
453;3;PC CA1;CA1;left
454;3;PC CA1;CA1;left
455;3;PC CA1;CA1;left
456;3;PC CA1;CA1;left
457;3;PC CA1;CA1;left
458;3;Uncalled;CA1;left
459;3;Uncalled;CA1;left
460;3;PC CA1;CA1;left
461;3;Non neuron;CA1;left
462;3;Non neuron;CA1;left
463;3;PC CA1;CA1;left
464;3;PC CA1;CA1;left
465;3;PC CA1;CA1;left
466;3;Non neuron;CA1;left
467;3;Uncalled;CA1;left
468;3;Basket;CA1;left
469;3;PC CA1;CA1;left
470;3;Non neuron;CA1;left
471;3;PC CA1;CA1;left
472;3;Non neuron;CA1;left
473;3;Non neuron;CA1;left
474;3;Uncalled;CA1;left
475;3;PC CA1;CA1;left
476;3;PC CA1;CA1;left
477;3;Uncalled;CA1;left
478;3;PC CA1;CA1;left
479;3;PC CA1;CA1;left
480;3;PC CA1;CA1;left
481;3;PC CA1;CA1;left
482;3;PC CA1;CA1;left
483;3;PC CA1;CA1;left
484;3;PC CA1;CA1;left
485;3;PC CA1;CA1;left
486;3;Non neuron;CA1;left
487;3;Non neuron;CA1;left
488;3;Uncalled;CA1;left
489;3;PC CA1;CA1;left
490;3;PC CA1;CA1;left
491;3;PC CA1;CA1;left
492;3;PC CA1;CA1;left
493;3;PC CA1;CA1;left
494;3;Non neuron;CA1;left
495;3;IS1;CA1;left
496;3;PC CA1;CA1;left
497;3;Non neuron;CA1;left
498;3;Non neuron;CA1;left
499;3;Non neuron;CA1;left
500;3;PC CA1;CA1;left
501;3;Uncalled;CA1;left
502;3;O/LM;CA1;left
503;3;Uncalled;CA1;left
504;3;PC CA1;CA1;left
505;3;Uncalled;CA1;left
506;3;Uncalled;CA1;left
507;3;PC CA1;CA1;left
508;3;PC CA1;CA1;left
509;3;PC CA1;CA1;left
510;3;PC CA1;CA1;left
511;3;Uncalled;CA1;left
512;3;Uncalled;CA1;left
513;3;Non neuron;CA1;left
514;3;PC CA1;CA1;left
515;3;Uncalled;CA1;left
516;3;Non neuron;CA1;left
517;3;PC CA1;CA1;left
518;3;PC CA1;CA1;left
519;3;PC CA1;CA1;left
520;3;PC CA1;CA1;left
521;3;Axo-axonic;CA1;left
522;3;PC CA1;CA1;left
523;3;PC CA1;CA1;left
524;3;PC CA1;CA1;left
525;3;Non neuron;CA1;left
526;3;PC CA1;CA1;left
527;3;Non neuron;CA1;left
528;3;Uncalled;CA1;left
529;3;Basket;CA1;left
530;3;Non neuron;CA1;left
531;3;PC other;CA1;left
532;3;Uncalled;CA1;left
533;3;Uncalled;CA1;left
534;3;PC CA1;CA1;left
535;3;Uncalled;CA1;left
536;3;Uncalled;CA1;left
537;3;Non neuron;CA1;left
538;3;Uncalled;CA1;left
539;3;PC CA1;CA1;left
540;3;Uncalled;CA1;left
541;3;CGE NGF;CA1;left
542;3;PC CA1;CA1;left
543;3;PC CA1;CA1;left
544;3;PC CA1;CA1;left
545;3;PC CA1;CA1;left
546;3;PC CA1;CA1;left
547;3;PC CA1;CA1;left
548;3;PC CA1;CA1;left
549;3;PC CA1;CA1;left
