label;Anatomy;region_name;hemisphere;case_id;node_set_id;local_label;node_id;seg_label;x;y;z;graph_seed;node_count;node_hash;degree_export_k20;strength_export_k20;KMeans_k20_c16_s0_Clustering;degree_export_k40;strength_export_k40;KMeans_k40_c16_s0_Clustering
33;left_module_13;UPENN-GBM-00013_11 node 32;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;33;32;2;118;188;111;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;7;9.4476053;13;7;11.266927;13
34;left_module_6;UPENN-GBM-00013_11 node 33;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;34;33;2;118;189;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;6;5.9438551;6;6;7.0781883;6
35;left_module_13;UPENN-GBM-00013_11 node 34;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;35;34;2;118;190;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;11;11.947517;13;7;8.9749305;13
36;left_module_13;UPENN-GBM-00013_11 node 35;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;36;35;2;118;191;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;10;13.198791;13;8;13.807628;13
37;left_module_9;UPENN-GBM-00013_11 node 36;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;37;36;2;119;179;125;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;0;0;9;0;0;9
38;left_module_1;UPENN-GBM-00013_11 node 37;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;38;37;2;119;182;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;7;7.9180265;1;10;13.654204;1
39;left_module_6;UPENN-GBM-00013_11 node 38;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;39;38;2;119;182;107;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;9.8222005;6;10;15.075633;6
40;left_module_1;UPENN-GBM-00013_11 node 39;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;40;39;2;119;183;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;7.0856039;1;8;6.3137584;1
41;left_module_1;UPENN-GBM-00013_11 node 40;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;41;40;2;119;183;107;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;7.7607194;1;6;6.5387031;1
42;left_module_1;UPENN-GBM-00013_11 node 41;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;42;41;2;119;183;108;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;7;7.7093421;1;8;9.8704386;1
43;left_module_1;UPENN-GBM-00013_11 node 42;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;43;42;2;119;183;109;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;9.1989802;1;8;11.138263;1
44;left_module_6;UPENN-GBM-00013_11 node 43;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;44;43;2;119;183;110;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;5;7.9254864;6;5;8.6996827;6
45;left_module_6;UPENN-GBM-00013_11 node 44;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;45;44;2;119;183;111;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;6;11.481445;6;5;11.223553;6
46;left_module_4;UPENN-GBM-00013_11 node 45;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;46;45;2;119;184;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;5.6107362;4;7;4.5496007;4
47;left_module_1;UPENN-GBM-00013_11 node 46;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;47;46;2;119;184;107;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;10;6.3591826;1;11;7.8842743;1
48;left_module_1;UPENN-GBM-00013_11 node 47;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;48;47;2;119;184;108;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;7;4.7343675;1;10;7.9310443;1
49;left_module_1;UPENN-GBM-00013_11 node 48;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;49;48;2;119;184;109;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;7;5.786336;1;7;6.468691;1
50;left_module_6;UPENN-GBM-00013_11 node 49;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;50;49;2;119;184;110;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;8.9046244;6;9;10.469617;6
51;left_module_6;UPENN-GBM-00013_11 node 50;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;51;50;2;119;184;111;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;11.995967;6;8;15.715429;6
