label;region_name;Score_Max;hemisphere
356;PSMB6_G;30;right
357;PSMB7_H;30;right
358;PSMA4_I;30;right
359;PSMA3_J;30;right
360;PSMA6_K;30;right
361;PSMA5_L;30;right
362;PSMA2_M;30;right
363;PSMA8_A;31;right
364;PSMB4_B;31;right
365;PSMB5_C;31;right
366;PSMB2_D;31;right
367;PSMB1_E;31;right
368;PSMA7_F;31;right
369;PSMB6_G;31;right
370;PSMB7_H;31;right
371;PSMA4_I;31;right
372;PSMA3_J;31;right
373;PSMA6_K;31;right
374;PSMA5_L;31;right
375;PSMA2_M;31;right
376;PSMA8_A;32;right
377;PSMB4_B;32;right
378;PSMB5_C;32;right
379;PSMB2_D;32;right
380;PSMB1_E;32;right
381;PSMA7_F;32;right
382;PSMB6_G;32;right
383;PSMB7_H;32;right
384;PSMA4_I;32;right
385;PSMA3_J;32;right
386;PSMA6_K;32;right
387;PSMA5_L;32;right
388;PSMA2_M;32;right
389;PSMA8_A;33;right
390;PSMB4_B;33;right
391;PSMB5_C;33;right
392;PSMB2_D;33;right
393;PSMB1_E;33;right
394;PSMA7_F;33;right
395;PSMB6_G;33;right
396;PSMB7_H;33;right
397;PSMA4_I;33;right
398;PSMA3_J;33;right
399;PSMA6_K;33;right
400;PSMA5_L;33;right
401;PSMA2_M;33;right
402;PSMA8_A;34;right
403;PSMB4_B;34;right
404;PSMB5_C;34;right
405;PSMB2_D;34;right
406;PSMB1_E;34;right
407;PSMA7_F;34;right
408;PSMB6_G;34;right
409;PSMB7_H;34;right
410;PSMA4_I;34;right
411;PSMA3_J;34;right
412;PSMA6_K;34;right
413;PSMA5_L;34;right
414;PSMA2_M;34;right
415;PSMA8_A;35;right
416;PSMB4_B;35;right
417;PSMB5_C;35;right
418;PSMB2_D;35;right
419;PSMB1_E;35;right
420;PSMA7_F;35;right
421;PSMB6_G;35;right
422;PSMB7_H;35;right
423;PSMA4_I;35;right
424;PSMA3_J;35;right
425;PSMA6_K;35;right
426;PSMA5_L;35;right
427;PSMA2_M;35;right
428;PSMA8_A;36;right
429;PSMB4_B;36;right
430;PSMB5_C;36;right
431;PSMB2_D;36;right
432;PSMB1_E;36;right
433;PSMA7_F;36;right
434;PSMB6_G;36;right
435;PSMB7_H;36;right
436;PSMA4_I;36;right
437;PSMA3_J;36;right
438;PSMA6_K;36;right
439;PSMA5_L;36;right
440;PSMA2_M;36;right
441;PSMA8_A;37;right
442;PSMB4_B;37;right
443;PSMB5_C;37;right
444;PSMB2_D;37;right
445;PSMB1_E;37;right
446;PSMA7_F;37;right
447;PSMB6_G;37;right
448;PSMB7_H;37;right
449;PSMA4_I;37;right
450;PSMA3_J;37;right
451;PSMA6_K;37;right
452;PSMA5_L;37;right
453;PSMA2_M;37;right
454;PSMA8_A;38;right
455;PSMB4_B;38;right
456;PSMB5_C;38;right
457;PSMB2_D;38;right
458;PSMB1_E;38;right
459;PSMA7_F;38;right
460;PSMB6_G;38;right
461;PSMB7_H;38;right
462;PSMA4_I;38;right
463;PSMA3_J;38;right
464;PSMA6_K;38;right
465;PSMA5_L;38;right
466;PSMA2_M;38;right
467;PSMA8_A;39;right
468;PSMB4_B;39;right
469;PSMB5_C;39;right
470;PSMB2_D;39;right
471;PSMB1_E;39;right
472;PSMA7_F;39;right
473;PSMB6_G;39;right
474;PSMB7_H;39;right
475;PSMA4_I;39;right
476;PSMA3_J;39;right
477;PSMA6_K;39;right
478;PSMA5_L;39;right
479;PSMA2_M;39;right
480;PSMA8_A;40;right
481;PSMB4_B;40;right
482;PSMB5_C;40;right
483;PSMB2_D;40;right
484;PSMB1_E;40;right
485;PSMA7_F;40;right
