label,Iso-map,,,RandomTrees,,,t_SNE,,,IsomapClustering,Random_TreesClustering,t-SNEClustering,LouvainClustering
114,1.61219,1.85688,-0.20371,5.75636,6.62964,0.686,-77.76578,12.26574,11.7487,1,1,1,2
115,-0.99532,-0.50399,-0.08047,13.12034,-3.52002,-1.55196,27.18392,-49.51341,58.33902,3,1,1,5
116,-0.73371,-0.64959,0.3447,12.42542,-0.97406,-1.25034,15.68318,45.32842,67.26902,1,1,1,1
117,0.73934,0.54646,1.1686,7.34986,6.08492,1.43385,-22.74091,-17.53161,-50.30622,1,1,1,5
118,1.52708,1.71596,0.07871,5.41296,6.83736,-0.3749,-77.2299,-3.13616,16.7006,1,1,1,2
119,1.00702,1.30032,0.24612,6.00149,7.39937,0.11997,84.73875,-158.36589,59.64459,1,1,1,2
120,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,-0.77592,40.22833,49.51504,2,2,1,5
121,-0.53284,-0.451,0.7381,9.89147,1.98451,-0.39428,46.94676,55.16622,-20.48523,1,1,1,5
122,-0.237,-0.35275,0.13223,11.85264,0.76909,-1.67651,-4.1128,0.21536,-66.67628,4,1,1,2
123,0.41066,0.33207,2.35931,6.90939,5.95372,1.6604,-20.98781,-8.43913,-29.36466,1,1,1,1
124,-0.50248,-0.28038,0.62328,10.10427,2.03213,-0.39794,-24.00728,-65.57402,-7.5925,1,1,1,5
125,-0.41216,-0.22512,-0.21378,13.05417,-2.15982,-0.97304,15.38774,-22.23612,17.25452,1,1,1,2
126,0.36255,0.56693,0.46603,9.40872,4.49376,0.82413,94.62728,3.91081,-24.90863,1,1,1,5
127,0.28093,0.50083,2.32903,7.63235,5.46181,1.87069,-36.78188,-17.15882,30.83705,1,1,1,1
128,-0.79906,-0.35739,-0.05916,13.39345,-3.36147,-1.39143,37.99667,-37.69124,33.72997,3,1,1,6
129,-0.76149,-0.39535,0.1269,12.2587,-1.50659,-0.84046,34.16242,-34.44136,64.46401,1,1,1,5
130,-0.40171,0.00583,0.946,9.80617,3.62329,0.25791,-10.69491,3.55183,15.90344,1,1,1,5
131,0.60111,1.84874,-0.2632,7.0342,4.74121,2.18614,-68.02897,21.16553,-44.08446,1,1,1,6
132,-0.25938,-0.3009,0.15233,11.59065,0.36344,-0.32887,38.68749,49.36982,-45.33132,4,1,1,5
133,0.14291,0.59894,-0.38536,9.01481,3.25863,0.61837,-18.57767,-22.9494,-8.35288,1,1,1,6
134,0.08276,0.60279,-0.50221,8.9828,3.22349,0.89209,3.61789,20.91534,-83.1856,1,1,1,3
135,-0.91794,-0.19271,-0.76267,11.64928,-1.29538,-0.06882,32.0949,-28.5138,-64.5749,1,1,1,2
136,0.21417,0.32405,0.23426,8.95449,4.62222,1.17898,-52.91542,-22.21724,1.7693,1,1,1,1
137,0.56763,1.04615,-0.21359,7.73559,5.39205,0.77076,-38.99287,24.90084,-67.90628,1,1,1,2
138,0.02437,0.94938,-0.56635,9.98015,4.0799,2.80092,-33.69949,-22.58717,-3.57214,1,1,1,6
139,0.5187,1.51744,-0.18947,7.5789,5.83039,2.07484,-48.14832,17.86531,-55.00733,1,1,1,2
140,0.5373,1.86443,-0.01526,7.07104,6.46316,2.0187,-4.4235,-78.14884,33.49802,1,1,1,2
141,-0.31009,0.2246,0.19184,10.49428,2.29986,0.44976,-100.93327,-28.47585,-0.61195,1,1,1,3
142,-0.63616,0.49438,-0.48578,10.11506,1.38904,0.8432,-23.256,-55.62506,43.48824,1,1,1,3
143,-0.58042,-0.08114,-0.11091,12.41717,-0.21687,0.2165,-5.90744,-28.97033,26.74789,1,1,1,2
144,-0.56228,-0.29962,0.16674,12.72156,-1.27489,-0.99531,52.61835,50.51679,63.33198,1,1,1,1
145,-0.71437,0.16391,0.04186,12.33528,-1.42131,-0.71579,15.8389,-9.53453,-85.1697,1,1,1,6
146,-0.21596,-0.11911,0.53074,11.38586,1.7631,-0.34793,36.92618,15.74022,-25.68415,1,1,1,1
147,-0.5704,-0.06892,1.41533,10.16267,2.45066,1.03275,14.74804,12.00993,-29.29468,1,1,1,1
148,-0.22791,1.44474,-0.28849,8.35072,3.92764,3.48268,-14.45709,68.21118,0.28201,1,1,1,6
149,-0.32336,0.69486,-0.66532,9.62105,2.30032,1.51921,-19.60499,-25.7957,11.38677,1,1,1,2
150,-0.21981,-0.19153,0.19349,11.06605,1.05345,0.08953,-19.94802,0.07835,-79.01715,4,1,1,1
151,-0.12483,1.45354,0.20993,7.63306,4.44575,4.3372,-9.37093,75.98844,-10.40882,1,1,1,6
152,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,36.27563,2.07729,5.87598,2,2,1,5
153,-0.53725,0.08861,-0.00612,12.32965,-0.90817,-0.14989,-41.16911,-39.25964,62.65967,5,1,1,5
154,-0.02651,0.08367,0.53816,11.60149,1.48256,1.42658,44.2217,-80.31418,36.69192,1,1,1,1
155,-0.52446,0.19295,-0.02833,11.47586,0.85175,0.95208,1.24604,-14.22673,-18.75788,5,1,1,3
156,-0.21494,-0.23131,0.13598,12.61363,-0.72518,-0.75847,-32.17079,116.82977,264.1004,4,1,1,1
157,0.14572,0.59514,0.5553,9.98322,3.72634,2.35158,-19.3613,6.14329,-48.50966,1,1,1,5
158,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,-11.64489,17.06477,54.20566,2,2,1,6
159,-0.05301,0.46989,1.18049,9.34959,3.55664,3.33737,-64.67276,-47.6047,-2.82757,1,1,1,5
160,-0.09016,0.47329,1.17041,9.51435,3.57343,2.96072,-69.64724,-50.25672,-15.93275,1,1,1,5
161,-0.66199,-0.34516,0.40855,12.82445,-1.71589,-0.27527,21.06045,13.97104,11.05477,1,1,1,1
162,-1.04263,-0.52853,-0.08362,13.24065,-3.48053,-1.74089,25.15542,-58.56711,47.48588,3,1,1,5
163,-0.1183,1.05201,0.47684,9.03943,4.16979,2.70065,-38.7899,-0.75503,-62.62738,1,1,1,2
164,-0.41956,0.22607,0.91669,10.37518,2.44744,2.6171,53.17436,4.22846,-43.96832,1,1,1,5
165,0.03927,1.84649,-0.07154,7.70348,4.47146,4.59897,-63.4569,-3.85677,-21.74184,1,1,1,6
166,-0.37438,1.03095,-0.09414,9.61077,2.78669,3.80502,-21.60895,27.28821,-46.44116,1,1,1,6
167,-0.5251,0.83958,-0.11652,10.77582,0.84687,1.91489,-32.34397,-36.89603,-18.39464,1,1,1,6
168,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,-64.57646,-31.49039,18.76181,2,2,1,6
169,-0.46518,0.36636,0.18328,11.95799,0.78759,1.99926,-47.7053,-31.53202,-26.26033,1,1,1,6
170,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,-75.68972,95.03675,-67.60448,2,2,1,4
171,-0.26688,0.896,0.061,11.26417,1.40724,3.03205,-24.59776,-29.46061,-28.47849,1,1,1,6
172,-0.23664,0.49619,1.83862,9.64313,3.38642,3.87638,-28.14709,-5.6763,21.09151,1,1,1,1
173,-0.28321,0.00465,0.06465,12.59344,-0.77107,1.17149,-59.74971,-27.50199,-18.2004,1,1,1,2
174,-0.7095,-0.16677,0.07483,13.11734,-2.01039,-0.45588,-30.52391,7.07661,47.28125,1,1,1,1
175,-0.35455,0.03488,0.91033,11.24592,1.52693,1.83518,-2.62166,1.44072,-35.75951,1,1,1,1
176,-0.32067,-0.05746,0.18851,12.28883,0.17289,1.6556,17.76743,17.613,-64.89468,1,1,1,5
177,-0.10133,1.84988,-0.08418,8.49398,3.54058,5.98396,-60.8892,-9.88926,-35.78162,1,1,1,6
178,-0.48021,0.62645,1.42444,9.56313,3.05628,4.64669,89.98222,-15.36447,23.67731,1,1,1,1
179,-0.5017,0.65843,1.09476,9.64418,1.60749,4.16811,4.11263,17.54388,-47.14103,1,1,1,1
180,-0.49014,0.91634,1.24118,9.6819,2.68381,5.26724,-48.47848,-6.76858,49.68984,1,1,1,1
181,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,0.1829,-12.3862,54.59658,2,2,1,6
182,-0.53617,0.30455,0.00151,11.95166,-0.36568,1.73883,-9.96587,78.63595,51.8816,5,1,1,6
183,-0.71905,0.11158,-0.3777,11.79179,-1.07672,0.56353,-25.59458,-46.65834,6.40966,1,1,1,2
184,-0.31031,1.52604,0.17578,9.11423,2.73661,5.92994,-68.75588,62.40992,18.6756,1,1,1,6
185,-0.20475,0.91425,0.46143,9.79156,2.2366,3.59143,-42.14323,-32.22585,-49.53154,1,1,1,5
186,-0.92851,-0.27883,-0.03061,12.84106,-2.34641,-0.58123,58.67798,3.49366,9.45819,3,1,1,5
187,-0.52999,0.42563,-0.8364,10.75539,0.14459,2.37961,-12.94217,-48.14701,24.71319,1,1,1,2
188,-0.40825,0.09696,0.10176,12.4964,-0.91527,0.67285,-10.10096,-43.08528,0.03083,1,1,1,2
189,-1.05815,-0.54201,-0.10462,13.2993,-3.27249,-1.52096,89.28688,3.70434,3.91108,3,3,1,6
190,-0.29816,0.22525,-0.06329,12.51591,-0.09159,1.50063,38.08576,23.17014,-45.46096,1,1,1,2
191,-0.71335,-0.0253,-0.32283,12.21781,-0.4937,1.46842,-3.60034,-54.9984,44.30102,1,1,1,3
192,-0.35185,0.33479,-0.39833,11.81099,-0.06092,2.32432,1.94974,-29.56109,79.56224,1,1,1,2
193,-0.60249,0.28511,-0.02845,12.0774,-0.73734,1.37667,-68.4278,164.9984,-7.93288,5,1,1,6
194,-0.5791,0.26683,-0.27209,11.91461,0.01699,1.94676,125.26897,184.68707,-11.2873,1,1,1,3
195,-0.52484,-0.2567,0.05303,13.19025,-2.54381,-0.68444,27.12096,17.09499,-8.75213,2,1,1,5
196,-0.61995,0.91373,0.71862,9.67866,1.8926,4.95961,0.22243,-21.10481,-51.86769,1,1,1,1
197,-0.70815,0.37988,-0.13382,12.25769,-0.69194,1.8257,3.35192,-30.68138,-30.83199,1,1,1,6
198,-0.74962,-0.28323,0.50511,12.73413,-0.81354,1.03824,12.95487,-8.86872,-40.07415,1,1,1,1
199,-0.74287,0.40673,0.42165,11.10598,1.45922,3.86423,14.70626,-11.63689,-58.17882,1,1,1,1
