label,Iso_map,,,RandomTrees,,,Spec-tral,,,t_SNE,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
56,8.60053,6.09709,-1.92782,0.81514,3.50704,2.9444,0.00405,0.00362,-0.00696,-1.37857,41.79466,-12.94725,1,1,1,2,2
57,15.84134,4.73733,1.45185,0.23597,3.90811,6.17007,0.00754,0.00397,0.00048,-12.82682,31.79781,-47.50102,1,1,1,2,2
58,16.82753,2.27629,2.21132,0.20542,4.58746,7.58496,0.00802,0.00244,0.00449,-22.49934,19.43223,-52.78232,1,1,1,2,3
59,-7.10863,8.54452,1.94847,9.59589,-1.09352,0.76338,-0.00358,0.00366,-0.00191,-43.10302,25.41185,-0.88327,1,1,1,2,4
60,14.07804,5.15323,-5.35063,0.69955,3.93646,4.16172,0.00515,0.00326,-0.00529,-15.50195,42.44368,-23.57371,1,1,1,2,1
61,20.36803,-2.01299,1.99374,0.16425,4.30213,7.49048,0.00823,0.00219,0.00574,-33.62412,27.74019,-58.07742,1,1,1,2,4
62,13.54709,0.02307,-1.43406,0.54607,4.60736,4.65509,0.00494,0.00098,-0.00323,31.29723,56.06154,-23.06786,4,1,1,2,3
63,-2.29231,4.7801,-1.60308,4.26253,1.86284,0.62599,-0.00047,0.0019,-0.0075,-25.42614,34.28349,-6.209,1,1,1,2,1
64,7.7027,6.13788,-0.57564,0.69444,3.54326,3.43728,0.00406,0.00306,-0.00542,21.72878,62.17541,0.14168,1,1,1,2,4
65,7.04711,6.49417,-1.85638,1.16111,3.47693,2.85061,0.00346,0.00339,-0.009,-43.06111,40.26772,-20.28497,1,1,1,2,1
66,15.46776,-0.05517,0.60455,0.34947,5.44577,7.2435,0.00741,0.00129,0.00078,61.15745,2.99531,-23.60263,1,1,1,2,1
67,15.31626,1.0098,-0.16866,0.32683,4.49422,6.56337,0.00687,0.00111,0.00066,27.92681,-41.07186,70.68248,1,1,1,1,4
68,16.15558,-0.79802,3.60505,0.23892,4.61696,6.79817,0.00763,0.00078,0.00343,6.14453,29.92346,-60.31421,1,1,1,2,2
69,-1.72755,7.86406,-0.39894,4.28856,1.47808,0.53892,-0.00065,0.00365,-0.00711,-24.18252,44.60022,14.91701,1,1,1,2,1
70,15.2487,2.37718,-1.48403,0.44738,4.7197,5.68964,0.00631,0.00117,-0.00131,2.06463,32.37529,-77.12998,1,1,1,2,4
71,9.12173,0.99656,-2.26176,1.04947,4.09584,2.90296,0.00359,0.0013,-0.00609,14.22734,41.58588,-6.7254,1,1,1,2,2
72,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,-19.06778,12.15936,-76.49362,2,2,1,2,2
73,13.06486,-1.65343,-2.30723,0.54484,4.78323,4.61274,0.00499,0.00055,-0.0043,6.72677,-76.1581,-32.84853,1,1,1,2,3
74,14.72789,-1.49859,-0.57002,0.43575,5.87693,6.62747,0.00674,405,-0.0008,56.46023,-14.61658,-33.68078,4,1,1,2,3
75,13.96312,-0.2961,-1.93428,0.59002,5.15667,5.50042,0.00605,0.00068,-0.00329,-12.85113,23.8651,-26.35535,4,1,1,2,2
76,14.09594,-0.4421,-1.30865,0.60714,5.17508,5.79957,0.00615,0.00045,-0.00281,-5.87775,59.52052,37.1668,4,1,1,1,2
