label,MRI,,,UPENNModuleClustering
128488,67,119,32,14
128489,67,119,33,14
128490,67,119,34,14
128491,67,119,35,14
128492,67,120,32,14
128493,67,135,96,13
128494,67,136,97,13
128495,67,136,98,13
128496,67,136,100,13
128497,67,136,101,13
128498,67,136,102,13
128499,67,137,96,13
128500,67,137,97,13
128501,67,137,98,13
128502,67,137,100,13
128503,67,138,95,13
128504,67,138,99,4
128505,67,138,100,4
128506,67,138,101,4
128507,67,138,103,13
128508,67,139,95,13
128509,67,139,96,13
128510,67,139,97,13
128511,67,139,100,4
128512,67,139,102,4
128513,67,139,104,13
128514,67,139,106,13
128515,67,140,96,13
128516,67,140,99,4
128517,67,140,102,4
128518,67,140,103,4
128519,67,141,94,13
128520,67,141,96,4
128521,67,141,98,4
128522,67,141,99,4
128523,67,141,100,4
128524,67,141,102,4
128525,67,141,105,13
128526,67,141,106,13
128527,67,142,90,13
128528,67,142,91,13
128529,67,142,97,4
128530,67,142,98,4
128531,67,142,99,4
128532,67,142,100,4
128533,67,142,101,4
128534,67,142,102,4
128535,67,142,103,4
128536,67,142,104,4
128537,67,142,105,13
128538,67,143,88,13
128539,67,143,89,4
128540,67,143,91,4
128541,67,143,93,4
128542,67,143,94,4
128543,67,143,95,4
128544,67,143,96,4
128545,67,143,98,4
128546,67,143,99,4
128547,67,143,100,4
128548,67,143,102,4
128549,67,143,105,13
128550,67,144,87,13
128551,67,144,91,4
128552,67,144,94,4
128553,67,144,97,4
128554,67,144,98,4
128555,67,144,99,4
128556,67,144,101,4
128557,67,144,103,4
128558,67,144,105,13
128559,67,145,87,13
128560,67,145,89,13
128561,67,145,90,13
128562,67,145,91,4
128563,67,145,92,4
128564,67,145,95,4
128565,67,145,98,4
128566,67,145,100,4
128567,67,145,101,4
128568,67,145,103,4
128569,67,145,106,13
128570,67,145,107,13
128571,67,146,91,13
128572,67,146,93,13
128573,67,146,97,4
128574,67,146,99,4
128575,67,146,100,4
128576,67,146,101,4
128577,67,146,103,4
128578,67,146,104,4
128579,67,146,106,13
128580,67,146,107,13
128581,67,147,95,13
128582,67,147,96,13
128583,67,147,97,4
128584,67,147,98,4
128585,67,147,100,4
128586,67,147,102,4
128587,67,147,104,4
128588,67,147,105,4
128589,67,148,97,13
128590,67,148,98,13
128591,67,148,100,4
128592,67,148,103,4
128593,67,148,106,13
128594,67,149,98,13
128595,67,149,100,4
128596,67,149,106,4
128597,67,149,108,13
128598,67,149,109,13
128599,67,150,108,13
128600,67,150,109,13
128601,67,150,110,13
128602,67,150,111,13
128603,67,151,104,13
128604,67,151,108,13
128605,67,151,109,13
128606,67,152,105,13
128607,67,152,108,13
128608,67,152,109,13
128609,67,153,109,13
128610,67,164,87,13
128611,67,165,87,13
128612,67,166,84,13
128613,67,166,88,13
128614,67,167,85,13
128615,67,167,86,4
128616,67,167,88,13
128617,67,167,89,13
128618,67,169,83,13
128619,67,169,85,4
128620,67,169,86,4
128621,67,169,87,4
128622,67,169,88,13
128623,67,169,90,13
128624,67,170,83,13
128625,67,170,84,13
128626,67,170,85,4
128627,67,170,87,4
128628,67,170,89,13
128629,67,171,84,13
128630,67,171,85,13
128631,67,171,86,4
128632,67,171,87,4
128633,67,171,92,13
128634,67,171,93,13
128635,67,171,94,13
128636,67,172,87,13
128637,67,172,88,13
128638,67,172,89,13
128639,67,172,92,13
128640,67,178,82,13
128641,67,179,83,13
128642,67,180,81,13
128643,67,180,82,13
128644,67,180,86,13
128645,67,181,81,13
128646,67,181,83,13
128647,67,181,84,13
128648,67,181,85,13
128649,67,182,82,13
128650,67,182,85,13
128651,67,182,86,13
128652,67,183,82,13
128653,67,183,84,13
128654,68,105,35,11
128655,68,105,36,14
128656,68,106,34,11
128657,68,107,32,14
128658,68,107,33,11
128659,68,108,31,11
128660,68,108,32,11
128661,68,108,34,14
128662,68,108,36,11
128663,68,108,37,11
128664,68,109,30,11
128665,68,109,35,11
128666,68,109,36,11
128667,68,109,37,11
128668,68,110,29,14
128669,68,110,30,11
128670,68,110,32,14
128671,68,110,38,11
128672,68,111,29,11
128673,68,111,36,11
128674,68,111,37,11
128675,68,112,29,11
128676,68,112,33,11
128677,68,113,28,11
128678,68,113,30,11
128679,68,113,31,11
128680,68,113,34,11
128681,68,113,40,14
128682,68,114,32,11
128683,68,114,33,14
128684,68,114,34,11
128685,68,114,36,14
128686,68,114,37,14
128687,68,114,38,14
128688,68,114,39,14
128689,68,114,40,14
128690,68,115,38,14
128691,68,115,41,14
128692,68,116,30,14
128693,68,116,31,14
128694,68,116,33,14
128695,68,116,34,14
128696,68,116,37,14
128697,68,117,31,14
128698,68,117,32,14
128699,68,117,39,14
128700,68,118,35,14
128701,68,118,40,14
128702,68,119,32,14
128703,68,119,33,14
128704,68,120,33,14
128705,68,133,98,13
128706,68,134,94,13
128707,68,134,95,13
128708,68,134,98,13
128709,68,135,95,13
128710,68,135,98,13
128711,68,135,99,13
128712,68,136,97,4
128713,68,136,100,13
128714,68,136,101,13
128715,68,137,94,13
128716,68,137,95,13
128717,68,137,96,13
128718,68,137,98,4
128719,68,137,99,4
128720,68,137,102,13
128721,68,138,94,13
128722,68,138,95,13
128723,68,138,97,4
128724,68,138,101,13
128725,68,139,95,13
128726,68,139,97,4
128727,68,139,99,4
128728,68,139,100,4
128729,68,139,102,13
128730,68,139,103,13
128731,68,139,104,13
128732,68,140,94,13
128733,68,140,95,4
128734,68,140,96,4
128735,68,140,103,13
128736,68,140,105,13
128737,68,141,94,4
128738,68,141,97,4
128739,68,141,99,4
128740,68,141,100,4
128741,68,141,103,13
128742,68,141,104,13
128743,68,141,105,13
128744,68,142,92,4
128745,68,142,93,4
128746,68,142,100,4
128747,68,143,87,13
128748,68,143,88,13
128749,68,143,90,4
128750,68,143,91,4
128751,68,143,92,4
128752,68,143,95,4
128753,68,143,96,4
128754,68,143,97,4
128755,68,143,98,4
128756,68,143,100,4
128757,68,143,101,4
128758,68,143,104,13
128759,68,143,105,13
128760,68,144,86,13
128761,68,144,88,4
128762,68,144,90,4
128763,68,144,94,4
128764,68,144,97,4
128765,68,144,98,4
128766,68,144,99,4
128767,68,144,100,4
128768,68,144,105,13
128769,68,145,87,13
128770,68,145,88,13
128771,68,145,89,13
128772,68,145,90,13
128773,68,145,92,4
128774,68,145,95,4
128775,68,145,96,4
128776,68,145,101,4
128777,68,145,102,4
128778,68,145,104,13
128779,68,145,105,13
128780,68,146,92,13
128781,68,146,93,13
128782,68,146,94,4
128783,68,146,95,4
128784,68,146,96,4
128785,68,146,99,4
128786,68,146,101,4
128787,68,146,103,4
128788,68,146,105,13
128789,68,146,107,13
128790,68,147,92,13
128791,68,147,94,13
128792,68,147,95,13
128793,68,147,101,4
128794,68,147,104,4
128795,68,147,106,13
128796,68,147,107,13
128797,68,148,97,13
128798,68,148,100,4
128799,68,148,105,4
128800,68,148,106,13
128801,68,148,107,13
128802,68,148,111,13
128803,68,149,98,13
128804,68,149,101,4
128805,68,149,103,4
128806,68,149,109,13
128807,68,149,110,13
128808,68,149,111,13
128809,68,150,100,13
128810,68,150,104,4
128811,68,150,106,4
128812,68,150,109,13
128813,68,150,110,13
128814,68,151,104,4
128815,68,151,105,4
128816,68,151,106,4
128817,68,151,111,13
128818,68,151,112,13
128819,68,152,105,13
128820,68,152,107,4
128821,68,152,109,13
128822,68,152,110,13
128823,68,152,111,13
128824,68,152,113,13
128825,68,153,107,13
128826,68,153,108,13
128827,68,153,111,13
128828,68,164,86,13
128829,68,164,87,13
128830,68,164,88,13
128831,68,165,84,13
128832,68,165,85,13
128833,68,165,86,13
128834,68,165,87,13
128835,68,165,88,13
128836,68,166,83,13
128837,68,166,84,13
128838,68,166,87,13
128839,68,166,89,13
128840,68,167,83,13
128841,68,167,86,4
128842,68,168,82,13
128843,68,168,83,13
128844,68,168,86,4
128845,68,168,89,13
128846,68,169,82,13
128847,68,169,83,13
128848,68,169,86,4
128849,68,169,89,4
128850,68,169,91,13
128851,68,169,92,13
128852,68,169,94,13
128853,68,170,81,13
128854,68,170,83,13
128855,68,170,84,4
128856,68,170,90,4
128857,68,170,92,13
128858,68,170,93,13
128859,68,171,84,13
128860,68,171,85,13
128861,68,171,86,13
128862,68,171,88,4
128863,68,171,89,4
128864,68,171,90,4
128865,68,171,91,13
128866,68,171,92,13
128867,68,171,94,13
128868,68,171,96,13
128869,68,172,91,13
128870,68,172,92,13
128871,68,172,95,13
128872,68,176,78,13
128873,68,177,78,13
128874,68,177,79,13
128875,68,178,78,13
128876,68,178,81,13
128877,68,178,82,13
128878,68,179,83,13
128879,68,180,81,13
128880,68,180,82,13
128881,68,180,84,13
128882,68,180,85,13
128883,68,181,81,13
128884,68,181,82,13
128885,68,181,83,4
128886,68,181,84,13
128887,68,181,86,13
128888,68,181,87,13
128889,68,182,86,13
128890,68,182,89,13
128891,68,182,90,13
128892,68,182,91,13
128893,68,183,83,13
128894,68,183,84,13
128895,68,183,88,13
128896,68,183,89,13
128897,68,184,83,13
128898,68,184,85,13
128899,68,184,88,13
128900,68,184,89,13
128901,68,185,84,13
