Label,X,Y,Z
755,155,136,27
756,165,138,27
757,106,140,27
758,161,142,27
759,111,144,27
760,170,146,27
761,141,147,27
762,99,149,27
763,169,149,27
764,101,153,27
765,163,153,27
766,165,154,27
767,113,67,28
768,136,67,28
769,148,68,28
770,114,72,28
771,140,73,28
772,132,74,28
773,151,75,28
774,120,77,28
775,120,78,28
776,138,78,28
777,155,79,28
778,161,80,28
779,166,81,28
780,134,83,28
781,100,85,28
782,117,85,28
783,125,87,28
784,169,87,28
785,110,89,28
786,170,89,28
787,172,90,28
788,87,93,28
789,93,93,28
790,153,93,28
791,159,94,28
792,161,94,28
793,106,95,28
794,113,96,28
795,107,98,28
796,90,99,28
797,103,99,28
798,100,101,28
799,105,101,28
800,149,102,28
801,90,104,28
802,151,105,28
803,102,106,28
804,109,107,28
805,141,109,28
806,124,110,28
807,130,110,28
808,129,111,28
809,132,113,28
810,148,115,28
811,129,117,28
812,168,118,28
813,137,119,28
814,119,120,28
815,142,120,28
816,86,121,28
817,131,122,28
818,101,123,28
819,140,123,28
820,160,124,28
821,149,126,28
822,178,127,28
823,148,129,28
824,117,131,28
825,137,132,28
826,88,133,28
827,160,133,28
828,170,135,28
829,99,137,28
830,109,139,28
831,143,139,28
832,171,140,28
833,147,141,28
834,156,141,28
835,106,143,28
836,146,144,28
837,138,146,28
838,102,149,28
839,148,150,28
840,106,153,28
841,104,158,28
842,110,65,29
843,134,66,29
844,144,67,29
845,147,68,29
846,149,69,29
847,126,71,29
848,113,74,29
849,121,75,29
850,157,75,29
851,115,77,29
852,150,79,29
853,92,81,29
854,90,82,29
855,141,83,29
856,142,85,29
857,171,86,29
858,171,88,29
859,158,89,29
860,161,89,29
861,160,91,29
862,172,92,29
863,113,93,29
864,108,94,29
865,113,95,29
866,121,95,29
867,91,97,29
868,150,98,29
869,109,99,29
870,117,99,29
871,126,100,29
872,113,102,29
873,157,102,29
874,96,103,29
875,146,104,29
876,175,105,29
877,115,107,29
878,148,109,29
879,102,110,29
880,173,111,29
881,131,112,29
882,176,114,29
883,136,116,29
884,91,117,29
885,99,118,29
886,121,119,29
887,151,120,29
888,139,122,29
889,82,123,29
890,117,124,29
891,110,125,29
892,82,127,29
893,88,127,29
894,103,128,29
895,166,128,29
896,155,129,29
897,120,130,29
898,119,132,29
899,165,133,29
900,146,135,29
901,86,136,29
902,150,137,29
903,151,138,29
904,111,139,29
905,145,139,29
906,104,141,29
907,146,142,29
908,108,144,29
909,146,145,29
910,104,147,29
911,164,147,29
912,99,149,29
913,160,149,29
914,166,149,29
915,112,153,29
916,160,155,29
917,116,65,30
918,101,69,30
919,113,70,30
920,119,72,30
921,159,72,30
922,130,75,30
923,132,75,30
924,107,77,30
925,138,79,30
926,92,81,30
927,99,81,30
928,101,81,30
929,122,82,30
930,144,82,30
931,104,83,30
932,145,83,30
933,150,83,30
934,94,86,30
935,121,86,30
936,125,86,30
937,137,87,30
938,152,89,30
939,153,90,30
940,155,91,30
941,167,93,30
942,114,95,30
943,91,96,30
944,108,97,30
945,117,97,30
946,148,98,30
947,175,98,30
948,92,99,30
949,128,100,30
950,161,100,30
951,153,102,30
952,168,104,30
953,159,106,30
954,115,107,30
955,119,108,30
956,160,109,30
957,150,110,30
958,120,112,30
959,141,113,30
960,165,113,30
961,86,114,30
962,166,115,30
963,180,116,30
964,149,118,30
965,85,120,30
966,84,121,30
967,111,121,30
968,158,121,30
969,104,123,30
970,96,124,30
971,170,124,30
972,117,125,30
973,147,125,30
974,93,127,30
975,96,128,30
976,97,130,30
977,113,132,30
978,166,132,30
979,86,135,30
980,97,137,30
981,157,137,30
982,115,139,30
983,151,140,30
984,162,142,30
985,138,143,30
986,143,144,30
987,99,146,30
988,150,146,30
989,118,148,30
990,170,149,30
991,149,152,30
992,160,154,30
993,104,158,30
994,109,65,31
995,103,68,31
996,149,68,31
997,101,70,31
998,125,70,31
999,105,72,31
1000,150,74,31
1001,135,75,31
1002,153,75,31
1003,117,78,31
1004,153,79,31
1005,137,80,31
1006,94,81,31
1007,112,83,31
1008,113,83,31
1009,148,83,31
1010,120,85,31
1011,145,87,31
1012,167,88,31
1013,96,91,31
1014,112,92,31
1015,126,94,31
1016,96,95,31
1017,166,96,31
